Id;Produto;Qte Vendida;Data;Loja; Preço Unitário ;Cor;Tamanho;Genero;;;;;;;;
3005;Sapato Masculino;2;04/03/2021;Belo Horizonte - MG;R$ 516,42;Vermelho;38;F;;;;;;;;
3006;Moda Infantil;2;22/10/2021;São Paulo - SP;R$ 556,46;Rosa;12;M;;;;;;;;
3007;Sapato Masculino;1;14/08/2021;Salvador -BA;R$ 596,51;Preto;1;F;;;;;;;;
3008;Sapato Feminino;1;11/11/2021;Rio de Janeiro - RJ;R$ 636,55;Branco;37;F;;;;;;;;
3009;Tênis;5;30/01/2021;Campinas - SP;R$ 676,60;Verde;36;F;;;;;;;;
3010;Tênis;4;31/05/2021;Curitiba - PR;R$ 716,64;Verde;34;F;;;;;;;;
3011;Sandália;3;04/04/2021;Cascavel - PR;R$ 756,68;Azul;34;M;;;;;;;;
3012;Chinelos;5;26/09/2021;Florianópolis - SC;R$ 510,99;Vermelho;35;M;;;;;;;;
3013;Moda Infantil;3;28/04/2021;Chapecó - SC;R$ 411,11;Rosa;36;F;;;;;;;;
3014;Sapato Masculino;2;18/01/2021;Goiânia - GO;R$ 220,00;Preto;22;M;;;;;;;;
3015;Moda Infantil;3;03/04/2021;Maringá - PR;R$ 140,00;Branco;44;F;;;;;;;;
3016;Sapato Masculino;5;19/03/2021;Araçatuba - SP;R$ 144,00;Verde;36;M;;;;;;;;
3017;Moda Infantil;3;26/01/2021;Belo Horizonte - MG;R$ 210,00;Verde;40;F;;;;;;;;
3018;Sapato Masculino;2;23/01/2021;São Paulo - SP;R$ 212,99;Azul;39;F;;;;;;;;
3019;Sapato Feminino;2;05/11/2021;Salvador -BA;R$ 199,99;Vermelho;38;F;;;;;;;;
3020;Tênis;1;14/09/2021;Rio de Janeiro - RJ;R$ 510,99;Rosa;12;F;;;;;;;;
3021;Tênis;1;20/10/2021;Campinas - SP;R$ 411,11;Preto;1;M;;;;;;;;
3022;Sandália;5;08/03/2021;Curitiba - PR;R$ 436,33;Branco;37;M;;;;;;;;
3023;Chinelos;4;23/11/2021;Cascavel - PR;R$ 476,38;Verde;36;F;;;;;;;;
3024;Moda Infantil;3;28/05/2021;Florianópolis - SC;R$ 516,42;Verde;34;M;;;;;;;;
3025;Sapato Masculino;5;14/04/2021;Chapecó - SC;R$ 556,46;Azul;34;F;;;;;;;;
3026;Moda Infantil;3;13/03/2021;Goiânia - GO;R$ 596,51;Vermelho;35;M;;;;;;;;
3027;Sapato Masculino;2;18/10/2021;Maringá - PR;R$ 636,55;Rosa;36;F;;;;;;;;
3028;Moda Infantil;3;13/09/2021;Araçatuba - SP;R$ 676,60;Preto;22;F;;;;;;;;
3029;Sapato Masculino;5;16/03/2021;Belo Horizonte - MG;R$ 716,64;Branco;44;F;;;;;;;;
3030;Moda Infantil;3;18/10/2021;Belo Horizonte - MG;R$ 756,68;Verde;36;F;;;;;;;;
3031;Sapato Masculino;2;22/06/2021;São Paulo - SP;R$ 510,99;Verde;40;M;;;;;;;;
3032;Sapato Feminino;2;02/05/2021;Salvador -BA;R$ 411,11;Azul;39;M;;;;;;;;
3033;Tênis;1;22/05/2021;Rio de Janeiro - RJ;R$ 220,00;Vermelho;38;F;;;;;;;;
3034;Tênis;1;02/06/2021;Campinas - SP;R$ 140,00;Rosa;12;M;;;;;;;;
3035;Sandália;5;03/08/2021;Curitiba - PR;R$ 144,00;Preto;41;F;;;;;;;;
3036;Chinelos;4;04/08/2021;Cascavel - PR;R$ 210,00;Branco;37;M;;;;;;;;
3037;Moda Infantil;3;06/06/2021;Florianópolis - SC;R$ 212,99;Verde;36;F;;;;;;;;
3038;Sapato Masculino;5;10/04/2021;Chapecó - SC;R$ 199,99;Verde;34;F;;;;;;;;
3039;Moda Infantil;3;08/01/2021;Goiânia - GO;R$ 510,99;Azul;34;F;;;;;;;;
3040;Sapato Masculino;2;26/07/2021;Maringá - PR;R$ 411,11;Vermelho;35;F;;;;;;;;
3041;Moda Infantil;4;19/10/2021;Araçatuba - SP;R$ 436,33;Rosa;36;M;;;;;;;;
3042;Sapato Masculino;3;24/01/2021;Belo Horizonte - MG;R$ 476,38;Preto;22;M;;;;;;;;
3043;Moda Infantil;5;11/12/2021;Cascavel - PR;R$ 516,42;Branco;44;F;;;;;;;;
3044;Sapato Masculino;3;31/03/2021;Florianópolis - SC;R$ 556,46;Verde;36;M;;;;;;;;
3045;Sapato Feminino;2;30/10/2021;Chapecó - SC;R$ 596,51;Verde;40;F;;;;;;;;
3046;Tênis;4;22/06/2021;Goiânia - GO;R$ 636,55;Azul;39;M;;;;;;;;
3047;Tênis;3;27/02/2021;Maringá - PR;R$ 676,60;Vermelho;38;F;;;;;;;;
3048;Sandália;5;03/11/2021;Araçatuba - SP;R$ 716,64;Rosa;12;F;;;;;;;;
3049;Chinelos;3;14/02/2021;Belo Horizonte - MG;R$ 756,68;Preto;1;F;;;;;;;;
3050;Moda Infantil;2;25/06/2021;São Paulo - SP;R$ 510,99;Branco;37;F;;;;;;;;
3051;Sapato Masculino;2;26/09/2021;Salvador -BA;R$ 411,11;Verde;36;M;;;;;;;;
3052;Moda Infantil;2;03/06/2021;Salvador -BA;R$ 220,00;Verde;34;M;;;;;;;;
3053;Sapato Masculino;1;03/09/2021;Rio de Janeiro - RJ;R$ 140,00;Azul;34;F;;;;;;;;
3054;Moda Infantil;1;30/11/2021;Campinas - SP;R$ 144,00;Vermelho;35;M;;;;;;;;
3055;Sapato Masculino;5;08/08/2021;Curitiba - PR;R$ 210,00;Rosa;36;F;;;;;;;;
3056;Moda Infantil;4;03/07/2021;Cascavel - PR;R$ 212,99;Preto;22;M;;;;;;;;
3057;Sapato Masculino;3;28/11/2021;Florianópolis - SC;R$ 199,99;Branco;44;F;;;;;;;;
3058;Sapato Feminino;5;03/08/2021;Chapecó - SC;R$ 510,99;Verde;36;F;;;;;;;;
3059;Tênis;3;27/11/2021;Goiânia - GO;R$ 411,11;Verde;40;F;;;;;;;;
3060;Tênis;2;30/11/2021;Maringá - PR;R$ 436,33;Azul;39;F;;;;;;;;
3067;Tênis;4;12/07/2021;São Paulo - SP;R$ 220,00;Azul;34;M;;;;;;;;
3068;Sandália;5;06/10/2021;Salvador -BA;R$ 140,00;Vermelho;35;M;;;;;;;;
3069;Chinelos;2;12/02/2021;Rio de Janeiro - RJ;R$ 144,00;Rosa;36;F;;;;;;;;
3070;Moda Infantil;2;11/12/2021;Campinas - SP;R$ 210,00;Preto;22;M;;;;;;;;
3071;Sapato Masculino;1;30/10/2021;Curitiba - PR;R$ 212,99;Branco;44;F;;;;;;;;
3072;Sapato Feminino;1;30/07/2021;Cascavel - PR;R$ 199,99;Verde;36;M;;;;;;;;
3073;Tênis;5;24/12/2021;Florianópolis - SC;R$ 510,99;Verde;40;F;;;;;;;;
3074;Tênis;4;01/04/2021;Chapecó - SC;R$ 411,11;Azul;39;F;;;;;;;;
3075;Moda Adulta;3;25/05/2021;Goiânia - GO;R$ 220,00;Vermelho;38;F;;;;;;;;
3076;Moda Infantil;5;28/07/2021;Maringá - PR;R$ 140,00;Rosa;12;F;;;;;;;;
3077;Moda Bebe;3;18/11/2021;Araçatuba - SP;R$ 144,00;Preto;1;M;;;;;;;;
3078;Chinelos;2;28/05/2021;Belo Horizonte - MG;R$ 210,00;Branco;37;M;;;;;;;;
3079;Botas;5;18/08/2021;São Paulo - SP;R$ 212,99;Verde;36;F;;;;;;;;
3080;Tênis;2;06/10/2021;Salvador -BA;R$ 199,99;Verde;34;M;;;;;;;;
3081;Sandália;4;21/01/2021;Rio de Janeiro - RJ;R$ 510,99;Azul;34;F;;;;;;;;
3082;Chinelos;4;19/09/2021;Campinas - SP;R$ 411,11;Vermelho;35;M;;;;;;;;
3083;Moda Infantil;5;19/06/2021;Curitiba - PR;R$ 220,00;Rosa;36;F;;;;;;;;
3084;Sapato Masculino;2;29/10/2021;Cascavel - PR;R$ 140,00;Preto;22;F;;;;;;;;
3085;Sapato Feminino;2;07/04/2021;Florianópolis - SC;R$ 144,00;Branco;44;F;;;;;;;;
3086;Tênis;1;15/04/2021;Chapecó - SC;R$ 210,00;Verde;36;F;;;;;;;;
3087;Tênis;1;08/06/2021;Goiânia - GO;R$ 212,99;Verde;40;M;;;;;;;;
3088;Moda Adulta;5;30/10/2021;Maringá - PR;R$ 199,99;Azul;39;M;;;;;;;;
3089;Moda Infantil;4;09/02/2021;Araçatuba - SP;R$ 510,99;Vermelho;38;F;;;;;;;;
3090;Moda Bebe;3;17/01/2021;Belo Horizonte - MG;R$ 411,11;Rosa;12;M;;;;;;;;
3091;Chinelos;5;21/05/2021;São Paulo - SP;R$ 220,00;Preto;1;F;;;;;;;;
3092;Botas;3;03/09/2021;Salvador -BA;R$ 140,00;Branco;37;M;;;;;;;;
3093;Tênis;2;23/08/2021;Rio de Janeiro - RJ;R$ 144,00;Verde;36;F;;;;;;;;
3094;Sandália;5;22/09/2021;Campinas - SP;R$ 210,00;Verde;34;F;;;;;;;;
3095;Chinelos;2;31/03/2021;Curitiba - PR;R$ 212,99;Azul;34;F;;;;;;;;
3096;Moda Infantil;4;29/11/2021;Cascavel - PR;R$ 199,99;Vermelho;35;F;;;;;;;;
3097;Sapato Masculino;4;27/11/2021;Florianópolis - SC;R$ 510,99;Rosa;36;M;;;;;;;;
3098;Sapato Feminino;5;25/02/2021;Chapecó - SC;R$ 411,11;Preto;22;M;;;;;;;;
3099;Tênis;2;05/05/2021;Goiânia - GO;R$ 436,33;Branco;44;F;;;;;;;;
3100;Tênis;2;21/10/2021;Maringá - PR;R$ 476,38;Verde;36;M;;;;;;;;
3101;Moda Adulta;1;06/06/2021;Araçatuba - SP;R$ 516,42;Verde;40;F;;;;;;;;
3102;Moda Infantil;1;01/05/2021;Belo Horizonte - MG;R$ 556,46;Azul;39;M;;;;;;;;
3103;Moda Bebe;5;17/01/2021;São Paulo - SP;R$ 596,51;Vermelho;38;F;;;;;;;;
3104;Chinelos;4;29/05/2021;Salvador -BA;R$ 636,55;Rosa;12;F;;;;;;;;
3105;Botas;3;16/08/2021;Rio de Janeiro - RJ;R$ 676,60;Preto;1;F;;;;;;;;
3106;Tênis;5;09/01/2021;Campinas - SP;R$ 716,64;Branco;37;F;;;;;;;;
3107;Sandália;3;07/05/2021;Curitiba - PR;R$ 756,68;Verde;36;M;;;;;;;;
3108;Chinelos;2;30/07/2021;Cascavel - PR;R$ 510,99;Verde;34;M;;;;;;;;
3109;Moda Infantil;5;29/12/2021;Florianópolis - SC;R$ 411,11;Azul;34;F;;;;;;;;
3110;Sapato Masculino;2;17/06/2021;Chapecó - SC;R$ 220,00;Vermelho;35;M;;;;;;;;
3111;Sapato Feminino;4;22/03/2021;Goiânia - GO;R$ 140,00;Rosa;36;F;;;;;;;;
3112;Moda Bebe;4;23/01/2021;Maringá - PR;R$ 144,00;Preto;22;M;;;;;;;;
3113;Chinelos;5;25/10/2021;Araçatuba - SP;R$ 210,00;Branco;44;F;;;;;;;;
3114;Botas;2;07/07/2021;Belo Horizonte - MG;R$ 212,99;Verde;36;F;;;;;;;;
3115;Tênis;2;13/03/2021;São Paulo - SP;R$ 199,99;Verde;40;F;;;;;;;;
3116;Sandália;1;09/12/2021;Salvador -BA;R$ 510,99;Azul;39;F;;;;;;;;
3117;Chinelos;1;04/08/2021;Rio de Janeiro - RJ;R$ 411,11;Vermelho;38;M;;;;;;;;
3118;Moda Infantil;5;29/05/2021;Campinas - SP;R$ 436,33;Rosa;12;M;;;;;;;;
3119;Sapato Masculino;4;07/02/2021;Curitiba - PR;R$ 476,38;Preto;1;F;;;;;;;;
3120;Tênis;3;07/03/2021;Cascavel - PR;R$ 516,42;Branco;37;M;;;;;;;;
3121;Sandália;5;26/09/2021;Florianópolis - SC;R$ 556,46;Verde;36;F;;;;;;;;
3122;Chinelos;3;19/05/2021;Chapecó - SC;R$ 596,51;Verde;34;M;;;;;;;;
3123;Moda Infantil;2;02/11/2021;Goiânia - GO;R$ 636,55;Azul;34;F;;;;;;;;
3124;Sapato Masculino;5;21/02/2021;Maringá - PR;R$ 676,60;Vermelho;35;F;;;;;;;;
3125;Sapato Feminino;2;13/02/2021;Araçatuba - SP;R$ 716,64;Rosa;36;F;;;;;;;;
3126;Tênis;4;16/04/2021;Belo Horizonte - MG;R$ 756,68;Preto;22;F;;;;;;;;
3127;Tênis;4;02/06/2021;São Paulo - SP;R$ 510,99;Branco;44;M;;;;;;;;
3128;Moda Adulta;5;05/11/2021;Salvador -BA;R$ 411,11;Verde;36;M;;;;;;;;
3129;Moda Infantil;2;17/08/2021;Rio de Janeiro - RJ;R$ 220,00;Verde;40;F;;;;;;;;
3130;Moda Bebe;2;08/12/2021;Campinas - SP;R$ 140,00;Azul;39;M;;;;;;;;
3131;Chinelos;1;09/01/2021;Curitiba - PR;R$ 144,00;Vermelho;38;F;;;;;;;;
3132;Botas;1;20/11/2021;Cascavel - PR;R$ 210,00;Rosa;12;M;;;;;;;;
3133;Tênis;5;03/01/2021;Florianópolis - SC;R$ 212,99;Preto;1;F;;;;;;;;
3134;Sandália;4;10/08/2021;Chapecó - SC;R$ 199,99;Branco;37;F;;;;;;;;
3135;Chinelos;3;10/01/2021;Goiânia - GO;R$ 510,99;Verde;36;F;;;;;;;;
3136;Moda Infantil;5;06/02/2021;Maringá - PR;R$ 411,11;Verde;34;F;;;;;;;;
3137;Sapato Masculino;3;21/01/2021;Araçatuba - SP;R$ 436,33;Azul;34;M;;;;;;;;
3138;Sapato Feminino;2;24/01/2021;Belo Horizonte - MG;R$ 476,38;Vermelho;35;M;;;;;;;;
3139;Tênis;5;09/01/2021;São Paulo - SP;R$ 516,42;Rosa;36;F;;;;;;;;
3140;Tênis;2;29/09/2021;Salvador -BA;R$ 556,46;Preto;22;M;;;;;;;;
3141;Moda Adulta;4;20/06/2021;Rio de Janeiro - RJ;R$ 596,51;Branco;44;F;;;;;;;;
3142;Moda Bebe;4;10/12/2021;Campinas - SP;R$ 636,55;Verde;36;M;;;;;;;;
3143;Chinelos;5;22/12/2021;Curitiba - PR;R$ 676,60;Verde;40;F;;;;;;;;
3144;Botas;2;14/04/2021;Cascavel - PR;R$ 716,64;Azul;39;F;;;;;;;;
3145;Tênis;2;26/01/2021;Florianópolis - SC;R$ 756,68;Vermelho;38;F;;;;;;;;
3146;Sandália;1;17/11/2021;Chapecó - SC;R$ 510,99;Rosa;12;F;;;;;;;;
3147;Chinelos;1;28/08/2021;Goiânia - GO;R$ 411,11;Preto;1;M;;;;;;;;
3148;Moda Infantil;5;13/03/2021;Maringá - PR;R$ 220,00;Branco;37;M;;;;;;;;
3149;Sapato Masculino;4;30/07/2021;Araçatuba - SP;R$ 140,00;Verde;36;F;;;;;;;;
3150;Sapato Feminino;5;21/07/2021;Belo Horizonte - MG;R$ 144,00;Verde;34;M;;;;;;;;
3151;Tênis;2;01/06/2021;Belo Horizonte - MG;R$ 210,00;Azul;34;F;;;;;;;;
3152;Tênis;2;02/04/2021;São Paulo - SP;R$ 212,99;Vermelho;35;M;;;;;;;;
3153;Sandália;1;04/03/2021;Salvador -BA;R$ 199,99;Rosa;36;F;;;;;;;;
3154;Chinelos;1;16/10/2021;Rio de Janeiro - RJ;R$ 510,99;Preto;22;F;;;;;;;;
3155;Moda Infantil;5;15/10/2021;Campinas - SP;R$ 411,11;Branco;44;F;;;;;;;;
3156;Sapato Masculino;4;21/03/2021;Curitiba - PR;R$ 436,33;Verde;36;F;;;;;;;;
3157;Tênis;3;26/08/2021;Cascavel - PR;R$ 476,38;Verde;40;M;;;;;;;;
3158;Sandália;5;31/10/2021;Florianópolis - SC;R$ 516,42;Azul;39;M;;;;;;;;
3159;Chinelos;3;22/08/2021;Chapecó - SC;R$ 556,46;Vermelho;38;F;;;;;;;;
3160;Moda Infantil;2;13/03/2021;Goiânia - GO;R$ 596,51;Rosa;12;M;;;;;;;;
3161;Sapato Masculino;5;18/02/2021;Maringá - PR;R$ 636,55;Preto;41;F;;;;;;;;
3162;Sapato Feminino;2;07/07/2021;Araçatuba - SP;R$ 676,60;Branco;37;M;;;;;;;;
3163;Tênis;4;30/12/2021;Belo Horizonte - MG;R$ 716,64;Verde;36;F;;;;;;;;
3164;Tênis;4;07/05/2021;Cascavel - PR;R$ 756,68;Verde;34;F;;;;;;;;
3165;Moda Adulta;5;20/03/2021;Florianópolis - SC;R$ 540,18;Azul;34;F;;;;;;;;
3166;Moda Infantil;2;05/08/2021;Chapecó - SC;R$ 543,13;Vermelho;35;F;;;;;;;;
3167;Moda Bebe;2;07/03/2021;Goiânia - GO;R$ 546,09;Rosa;36;M;;;;;;;;
3168;Chinelos;1;11/12/2021;Maringá - PR;R$ 140,00;Preto;22;M;;;;;;;;
3169;Botas;1;28/05/2021;Araçatuba - SP;R$ 144,00;Branco;44;F;;;;;;;;
3170;Tênis;5;03/10/2021;Belo Horizonte - MG;R$ 210,00;Verde;36;M;;;;;;;;
3171;Sandália;4;26/07/2021;São Paulo - SP;R$ 212,99;Verde;40;F;;;;;;;;
3172;Chinelos;3;31/12/2021;Salvador -BA;R$ 247,99;Azul;39;M;;;;;;;;
3173;Moda Infantil;5;10/09/2021;Salvador -BA;R$ 276,49;Vermelho;38;F;;;;;;;;
3174;Sapato Masculino;3;09/02/2021;Rio de Janeiro - RJ;R$ 304,98;Rosa;12;F;;;;;;;;
3175;Sapato Feminino;2;16/08/2021;Campinas - SP;R$ 333,48;Preto;1;F;;;;;;;;
3176;Tênis;5;18/04/2021;Curitiba - PR;R$ 361,98;Branco;37;F;;;;;;;;
3177;Tênis;2;16/02/2021;Cascavel - PR;R$ 220,00;Verde;36;M;;;;;;;;
3178;Moda Adulta;4;09/04/2021;Florianópolis - SC;R$ 140,00;Verde;34;M;;;;;;;;
3179;Moda Infantil;4;04/08/2021;Chapecó - SC;R$ 144,00;Azul;34;F;;;;;;;;
3180;Moda Bebe;5;08/03/2021;Goiânia - GO;R$ 210,00;Vermelho;35;M;;;;;;;;
3181;Chinelos;2;01/04/2021;Maringá - PR;R$ 212,99;Rosa;36;F;;;;;;;;
3182;Botas;2;20/05/2021;Araçatuba - SP;R$ 199,99;Preto;22;M;;;;;;;;
3183;Tênis;1;09/10/2021;Belo Horizonte - MG;R$ 510,99;Branco;44;F;;;;;;;;
3184;Sandália;1;11/02/2021;Salvador -BA;R$ 411,11;Verde;36;F;;;;;;;;
3185;Chinelos;5;10/07/2021;Rio de Janeiro - RJ;R$ 220,00;Verde;40;F;;;;;;;;
3186;Moda Infantil;4;15/10/2021;Campinas - SP;R$ 140,00;Azul;39;F;;;;;;;;
3187;Sapato Masculino;3;27/04/2021;Curitiba - PR;R$ 144,00;Vermelho;38;M;;;;;;;;
3188;Sapato Feminino;5;04/12/2021;Cascavel - PR;R$ 210,00;Rosa;12;M;;;;;;;;
3189;Tênis;3;31/08/2021;Florianópolis - SC;R$ 212,99;Preto;1;F;;;;;;;;
3190;Tênis;2;21/05/2021;Chapecó - SC;R$ 199,99;Branco;37;M;;;;;;;;
3191;Moda Adulta;5;14/05/2021;Goiânia - GO;R$ 510,99;Verde;36;F;;;;;;;;
3192;Moda Infantil;2;19/09/2021;Maringá - PR;R$ 411,11;Verde;34;M;;;;;;;;
3193;Moda Bebe;4;06/05/2021;Araçatuba - SP;R$ 220,00;Azul;34;F;;;;;;;;
3194;Chinelos;4;06/11/2021;Belo Horizonte - MG;R$ 140,00;Vermelho;35;F;;;;;;;;
3195;Botas;5;16/01/2021;São Paulo - SP;R$ 144,00;Rosa;36;F;;;;;;;;
3196;Tênis;2;12/05/2021;Salvador -BA;R$ 210,00;Preto;22;F;;;;;;;;
3197;Sandália;2;19/07/2021;Rio de Janeiro - RJ;R$ 212,99;Branco;44;M;;;;;;;;
3198;Chinelos;1;13/05/2021;Campinas - SP;R$ 199,99;Verde;36;M;;;;;;;;
3199;Moda Infantil;1;14/09/2021;Curitiba - PR;R$ 510,99;Verde;40;F;;;;;;;;
3200;Sapato Masculino;5;23/06/2021;Cascavel - PR;R$ 411,11;Azul;39;M;;;;;;;;
3201;Sapato Feminino;4;01/01/2021;Florianópolis - SC;R$ 220,00;Vermelho;38;F;;;;;;;;
3202;Moda Bebe;3;15/02/2021;Chapecó - SC;R$ 140,00;Rosa;12;M;;;;;;;;
3203;Chinelos;5;27/09/2021;Goiânia - GO;R$ 144,00;Preto;1;F;;;;;;;;
3204;Botas;3;21/07/2021;Maringá - PR;R$ 210,00;Branco;37;F;;;;;;;;
3205;Tênis;2;02/02/2021;Araçatuba - SP;R$ 212,99;Verde;36;F;;;;;;;;
3206;Sandália;5;24/05/2021;Belo Horizonte - MG;R$ 199,99;Verde;34;F;;;;;;;;
3207;Chinelos;2;13/05/2021;São Paulo - SP;R$ 510,99;Azul;34;M;;;;;;;;
3208;Moda Infantil;4;20/02/2021;Salvador -BA;R$ 411,11;Vermelho;35;M;;;;;;;;
3209;Sapato Masculino;4;04/05/2021;Rio de Janeiro - RJ;R$ 436,33;Rosa;36;F;;;;;;;;
3210;Tênis;5;08/12/2021;Campinas - SP;R$ 476,38;Preto;22;M;;;;;;;;
3211;Sandália;2;06/05/2021;Curitiba - PR;R$ 516,42;Branco;44;F;;;;;;;;
3212;Chinelos;2;13/01/2021;Cascavel - PR;R$ 556,46;Verde;36;M;;;;;;;;
3213;Moda Infantil;1;24/03/2021;Florianópolis - SC;R$ 596,51;Verde;40;F;;;;;;;;
3214;Sapato Masculino;1;28/02/2021;Chapecó - SC;R$ 636,55;Azul;39;F;;;;;;;;
3215;Sapato Feminino;5;12/05/2021;Goiânia - GO;R$ 676,60;Vermelho;38;F;;;;;;;;
3216;Tênis;4;15/10/2021;Maringá - PR;R$ 716,64;Rosa;12;F;;;;;;;;
3217;Tênis;3;04/11/2021;Araçatuba - SP;R$ 756,68;Preto;1;M;;;;;;;;
3218;Moda Adulta;5;14/04/2021;Belo Horizonte - MG;R$ 510,99;Branco;37;M;;;;;;;;
3219;Moda Infantil;3;27/03/2021;São Paulo - SP;R$ 411,11;Verde;36;F;;;;;;;;
3220;Moda Bebe;2;02/12/2021;Salvador -BA;R$ 220,00;Verde;34;M;;;;;;;;
3221;Chinelos;5;01/09/2021;Rio de Janeiro - RJ;R$ 140,00;Azul;34;F;;;;;;;;
3222;Botas;2;02/05/2021;Campinas - SP;R$ 144,00;Vermelho;35;M;;;;;;;;
3223;Tênis;4;09/03/2021;Curitiba - PR;R$ 210,00;Rosa;36;F;;;;;;;;
3224;Sandália;4;12/11/2021;Cascavel - PR;R$ 212,99;Preto;22;F;;;;;;;;
3225;Chinelos;5;29/08/2021;Florianópolis - SC;R$ 199,99;Branco;44;F;;;;;;;;
3226;Moda Infantil;2;20/01/2021;Chapecó - SC;R$ 510,99;Verde;36;F;;;;;;;;
3227;Sapato Masculino;2;27/05/2021;Goiânia - GO;R$ 411,11;Verde;40;M;;;;;;;;
3228;Sapato Feminino;1;29/01/2021;Maringá - PR;R$ 436,33;Azul;39;M;;;;;;;;
3229;Tênis;1;10/09/2021;Araçatuba - SP;R$ 476,38;Vermelho;38;F;;;;;;;;
3230;Tênis;5;18/11/2021;Belo Horizonte - MG;R$ 516,42;Rosa;12;M;;;;;;;;
3231;Moda Adulta;4;25/10/2021;São Paulo - SP;R$ 556,46;Preto;1;F;;;;;;;;
3232;Moda Bebe;3;27/10/2021;Salvador -BA;R$ 596,51;Branco;37;M;;;;;;;;
3233;Chinelos;5;05/11/2021;Rio de Janeiro - RJ;R$ 636,55;Verde;36;F;;;;;;;;
3234;Botas;3;04/06/2021;Campinas - SP;R$ 676,60;Verde;34;F;;;;;;;;
3235;Tênis;2;19/04/2021;Curitiba - PR;R$ 716,64;Azul;34;F;;;;;;;;
3236;Sandália;5;01/07/2021;Cascavel - PR;R$ 756,68;Vermelho;35;F;;;;;;;;
3237;Chinelos;2;11/02/2021;Florianópolis - SC;R$ 510,99;Rosa;36;M;;;;;;;;
3238;Moda Infantil;4;02/10/2021;Chapecó - SC;R$ 411,11;Preto;22;M;;;;;;;;
3239;Sapato Masculino;4;06/06/2021;Goiânia - GO;R$ 220,00;Branco;44;F;;;;;;;;
3240;Sapato Feminino;5;11/03/2021;Maringá - PR;R$ 140,00;Verde;36;M;;;;;;;;
3241;Tênis;2;05/04/2021;Araçatuba - SP;R$ 144,00;Verde;40;F;;;;;;;;
3242;Tênis;2;24/12/2021;Belo Horizonte - MG;R$ 210,00;Azul;39;M;;;;;;;;
3243;Sandália;1;02/07/2021;São Paulo - SP;R$ 212,99;Vermelho;38;F;;;;;;;;
3244;Chinelos;1;04/07/2021;Salvador -BA;R$ 199,99;Rosa;12;F;;;;;;;;
3245;Moda Infantil;5;22/10/2021;Rio de Janeiro - RJ;R$ 510,99;Preto;1;F;;;;;;;;
3246;Sapato Masculino;4;04/07/2021;Campinas - SP;R$ 411,11;Branco;37;F;;;;;;;;
3247;Tênis;3;03/10/2021;Curitiba - PR;R$ 436,33;Verde;36;M;;;;;;;;
3248;Sandália;5;18/07/2021;Cascavel - PR;R$ 476,38;Verde;34;M;;;;;;;;
3249;Chinelos;3;22/07/2021;Florianópolis - SC;R$ 516,42;Azul;34;F;;;;;;;;
3250;Moda Infantil;2;25/11/2021;Chapecó - SC;R$ 556,46;Vermelho;35;M;;;;;;;;
3251;Sapato Masculino;5;10/02/2021;Goiânia - GO;R$ 596,51;Rosa;36;F;;;;;;;;
3252;Sapato Feminino;2;20/06/2021;Maringá - PR;R$ 636,55;Preto;22;M;;;;;;;;
3253;Tênis;4;12/05/2021;Araçatuba - SP;R$ 676,60;Branco;44;F;;;;;;;;
3254;Tênis;4;19/11/2021;Belo Horizonte - MG;R$ 716,64;Verde;36;F;;;;;;;;
3255;Moda Adulta;5;25/06/2021;São Paulo - SP;R$ 756,68;Verde;40;F;;;;;;;;
3256;Moda Infantil;2;19/05/2021;Salvador -BA;R$ 510,99;Azul;39;F;;;;;;;;
3257;Moda Bebe;2;12/02/2021;Rio de Janeiro - RJ;R$ 411,11;Vermelho;38;M;;;;;;;;
3258;Chinelos;1;08/11/2021;Campinas - SP;R$ 220,00;Rosa;12;M;;;;;;;;
3259;Botas;1;04/03/2021;Curitiba - PR;R$ 140,00;Preto;41;F;;;;;;;;
3260;Tênis;5;24/09/2021;Cascavel - PR;R$ 144,00;Branco;37;M;;;;;;;;
3261;Sandália;4;31/10/2021;Florianópolis - SC;R$ 210,00;Verde;36;F;;;;;;;;
3262;Chinelos;3;13/01/2021;Chapecó - SC;R$ 212,99;Verde;34;M;;;;;;;;
3263;Moda Infantil;5;28/12/2021;Goiânia - GO;R$ 199,99;Azul;34;F;;;;;;;;
3264;Sapato Masculino;3;19/11/2021;Maringá - PR;R$ 510,99;Vermelho;35;F;;;;;;;;
3265;Sapato Feminino;2;29/09/2021;Araçatuba - SP;R$ 411,11;Rosa;36;F;;;;;;;;
3266;Tênis;5;07/03/2021;Belo Horizonte - MG;R$ 436,33;Preto;22;F;;;;;;;;
3267;Tênis;2;29/03/2021;São Paulo - SP;R$ 476,38;Branco;44;M;;;;;;;;
3268;Moda Adulta;4;17/07/2021;Salvador -BA;R$ 516,42;Verde;36;M;;;;;;;;
3269;Moda Infantil;4;20/05/2021;Rio de Janeiro - RJ;R$ 556,46;Verde;40;F;;;;;;;;
3270;Moda Bebe;5;31/05/2021;Campinas - SP;R$ 596,51;Azul;39;M;;;;;;;;
3271;Chinelos;2;22/10/2021;Curitiba - PR;R$ 636,55;Vermelho;38;F;;;;;;;;
3272;Botas;2;25/08/2021;Cascavel - PR;R$ 676,60;Rosa;12;M;;;;;;;;
3273;Tênis;1;29/09/2021;Florianópolis - SC;R$ 716,64;Preto;1;F;;;;;;;;
3274;Sandália;1;09/03/2021;Chapecó - SC;R$ 756,68;Branco;37;F;;;;;;;;
